City Name,Zone Name,Ward Name,Ward No.,Total No. of households / establishments,Total no. of households and establishments covered through doorstep collection,HH covered with Source Seggeratation 
Chennai,Thiruvotriyur,NA,1,3464,3464,1500
Chennai,Thiruvotriyur,NA,2,3695,3695,1300
Chennai,Thiruvotriyur,NA,3,5612,5612,1970
Chennai,Thiruvotriyur,NA,4,4701,4701,3023
Chennai,Thiruvotriyur,NA,5,5407,5407,2860
Chennai,Thiruvotriyur,NA,6,6234,6234,2330
Chennai,Thiruvotriyur,NA,7,5500,5500,1662
Chennai,Thiruvotriyur,NA,8,4876,4876,2000
Chennai,Thiruvotriyur,NA,9,4664,4664,1650
Chennai,Thiruvotriyur,NA,10,5295,5295,1860
Chennai,Thiruvotriyur,NA,11,5292,5292,2580
Chennai,Thiruvotriyur,NA,12,5304,5304,1755
Chennai,Thiruvotriyur,NA,13,5532,5532,1830
Chennai,Thiruvotriyur,NA,14,5027,5027,1659
Chennai,Manali,NA,15,2282,2282,2282
Chennai,Manali,NA,16,3835,3835,3835
Chennai,Manali,NA,17,2154,2154,2154
Chennai,Manali,NA,18,2610,2610,2610
Chennai,Manali,NA,19,8356,8356,3700
Chennai,Manali,NA,20,2278,2278,1250
Chennai,Manali,NA,21,1925,1925,1120
Chennai,Madavaram,NA,22,4879,4879,4879
Chennai,Madavaram,NA,23,3253,3253,258
Chennai,Madavaram,NA,24,4757,4757,529
Chennai,Madavaram,NA,25,3660,3660,2424
Chennai,Madavaram,NA,26,5454,5454,999
Chennai,Madavaram,NA,27,3918,3918,3918
Chennai,Madavaram,NA,28,3445,3445,937
Chennai,Madavaram,NA,29,3600,3600,3600
Chennai,Madavaram,NA,30,3198,3198,1512
Chennai,Madavaram,NA,31,3070,3070,3070
Chennai,Madavaram,NA,32,4164,4164,662
Chennai,Madavaram,NA,33,5609,5609,965
Chennai,Thondiyarpet,NA,34,12431,12431,4850
Chennai,Thondiyarpet,NA,35,15870,15870,3020
Chennai,Thondiyarpet,NA,36,12809,12809,3210
Chennai,Thondiyarpet,NA,37,11947,11947,3200
Chennai,Thondiyarpet,NA,38,10778,10778,2955
Chennai,Thondiyarpet,NA,39,11293,11293,1525
Chennai,Thondiyarpet,NA,40,10112,10112,1650
Chennai,Thondiyarpet,NA,41,9628,9628,1220
Chennai,Thondiyarpet,NA,42,8820,8820,3220
Chennai,Thondiyarpet,NA,43,10745,10745,3120
Chennai,Thondiyarpet,NA,44,9663,9663,1280
Chennai,Thondiyarpet,NA,45,9912,9912,1890
Chennai,Thondiyarpet,NA,46,9289,9289,1020
Chennai,Thondiyarpet,NA,47,9537,9537,1830
Chennai,Thondiyarpet,NA,48,9093,9093,2430
Chennai,Royapuram,NA,49,10243,2397,2082
Chennai,Royapuram,NA,50,10650,8891,7491
Chennai,Royapuram,NA,51,9769,4999,3411
Chennai,Royapuram,NA,52,10250,4143,3729
Chennai,Royapuram,NA,53,9730,5167,4132
Chennai,Royapuram,NA,54,10425,1910,1114
Chennai,Royapuram,NA,55,11005,2145,1237
Chennai,Royapuram,NA,56,8977,2656,1205
Chennai,Royapuram,NA,57,8425,2057,1595
Chennai,Royapuram,NA,58,8415,1588,1032
Chennai,Royapuram,NA,59,8674,1376,718
Chennai,Royapuram,NA,60,7504,1625,915
Chennai,Royapuram,NA,61,6535,1421,636
Chennai,Royapuram,NA,62,7704,2505,1325
Chennai,Royapuram,NA,63,7560,2463,1484
Chennai,Thiru Vi Ka Nagar,NA,64,13853,13853,2180
Chennai,Thiru Vi Ka Nagar,NA,65,13850,13850,2018
Chennai,Thiru Vi Ka Nagar,NA,66,11639,11639,3015
Chennai,Thiru Vi Ka Nagar,NA,67,12665,12665,1950
Chennai,Thiru Vi Ka Nagar,NA,68,9739,9739,1223
Chennai,Thiru Vi Ka Nagar,NA,69,11702,11702,1343
Chennai,Thiru Vi Ka Nagar,NA,70,7964,7964,1101
Chennai,Thiru Vi Ka Nagar,NA,71,7990,7990,1130
Chennai,Thiru Vi Ka Nagar,NA,72,8523,8523,1214
Chennai,Thiru Vi Ka Nagar,NA,73,7713,7713,976
Chennai,Thiru Vi Ka Nagar,NA,74,12025,12025,1601
Chennai,Thiru Vi Ka Nagar,NA,75,6122,6122,1017
Chennai,Thiru Vi Ka Nagar,NA,76,9565,9565,1261
Chennai,Thiru Vi Ka Nagar,NA,77,8645,8645,1178
Chennai,Thiru Vi Ka Nagar,NA,78,12837,12837,1975
Chennai,Ambattur,NA,79,9871,9871,9871
Chennai,Ambattur,NA,80,9501,6669,6669
Chennai,Ambattur,NA,81,8885,6684,6684
Chennai,Ambattur,NA,82,10820,7605,7605
Chennai,Ambattur,NA,83,9425,4835,4835
Chennai,Ambattur,NA,84,8110,5928,5928
Chennai,Ambattur,NA,85,8203,5048,5048
Chennai,Ambattur,NA,86,9681,6090,6090
Chennai,Ambattur,NA,87,6221,4910,4910
Chennai,Ambattur,NA,88,6801,6376,6376
Chennai,Ambattur,NA,89,7443,5372,5372
Chennai,Ambattur,NA,90,7852,4960,4960
Chennai,Ambattur,NA,91,8265,8265,8265
Chennai,Ambattur,NA,92,8034,7375,7375
Chennai,Ambattur,NA,93,8407,5238,5238
Chennai,Anna Nagar,NA,94,13553,10843,1110
Chennai,Anna Nagar,NA,95,12915,9041,736
Chennai,Anna Nagar,NA,96,9345,7476,915
Chennai,Anna Nagar,NA,97,11362,7953,645
Chennai,Anna Nagar,NA,98,11913,8935,735
Chennai,Anna Nagar,NA,99,11400,7752,560
Chennai,Anna Nagar,NA,100,10800,7560,630
Chennai,Anna Nagar,NA,101,11200,7616,625
