Ward No.,Total_Households,Covered_Households,Coverage_Percentage,Zone_Adayar,Zone_Alandur,Zone_Ambattur,Zone_Anna Nagar,Zone_Kodambakkam,Zone_Madavaram,Zone_Manali,Zone_Perungudi,Zone_Royapuram,Zone_Sholinganallur,Zone_Teynampet,Zone_Thiru Vi Ka Nagar,Zone_Thiruvotriyur,Zone_Thondiyarpet,Zone_Valasaravakkam
1,3464,3464,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,3695,3695,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,5612,5612,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,4701,4701,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,5407,5407,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,6234,6234,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7,5500,5500,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,4876,4876,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,4664,4664,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10,5295,5295,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,5292,5292,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
12,5304,5304,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13,5532,5532,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14,5027,5027,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15,2282,2282,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
16,3835,3835,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
17,2154,2154,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,2610,2610,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19,8356,8356,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20,2278,2278,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
21,1925,1925,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,4879,4879,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
23,3253,3253,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
24,4757,4757,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25,3660,3660,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,5454,5454,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
27,3918,3918,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
28,3445,3445,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
29,3600,3600,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
30,3198,3198,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
31,3070,3070,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
32,4164,4164,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
33,5609,5609,100.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
34,12431,12431,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35,15870,15870,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
36,12809,12809,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
37,11947,11947,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
38,10778,10778,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
39,11293,11293,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
40,10112,10112,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
41,9628,9628,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42,8820,8820,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
43,10745,10745,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
44,9663,9663,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45,9912,9912,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
46,9289,9289,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
47,9537,9537,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
48,9093,9093,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
49,10243,2397,23.40134726154447,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50,10650,8891,83.48356807511738,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
51,9769,4999,51.172074930903875,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
52,10250,4143,40.41951219512195,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
53,9730,5167,53.10380267214799,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
54,10425,1910,18.321342925659472,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55,11005,2145,19.491140390731484,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
56,8977,2656,29.586721621922692,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
57,8425,2057,24.415430267062316,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
58,8415,1588,18.87106357694593,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
59,8674,1376,15.863500115287065,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60,7504,1625,21.655117270788914,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
61,6535,1421,21.74445294567712,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
62,7704,2505,32.51557632398754,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
63,7560,2463,32.57936507936508,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
64,13853,13853,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
65,13850,13850,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
66,11639,11639,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
67,12665,12665,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
68,9739,9739,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,11702,11702,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
70,7964,7964,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
71,7990,7990,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
72,8523,8523,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
73,7713,7713,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
74,12025,12025,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
75,6122,6122,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
76,9565,9565,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
77,8645,8645,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
78,12837,12837,100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
79,9871,9871,100.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
80,9501,6669,70.19261130407327,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
81,8885,6684,75.22791221159257,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
82,10820,7605,70.28650646950092,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
83,9425,4835,51.29973474801061,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
